FID,osm_id,bridge,layer,highway,footway,incline,x_S,y_S,x_E,y_E
0,1062033385.000000000000000,yes,1,steps, , ,113.319136800000000,23.119205500000000,113.319101399999990,23.119307899999999
1,559485929.000000000000000,yes,1,steps, , ,113.322242300000000,23.119348400000000,113.322239700000000,23.119188600000001
2,559485938.000000000000000,yes, ,steps, , ,113.317677300000000,23.121545000000001,113.317393000000000,23.121564700000000
3,559485936.000000000000000,yes,1,footway,sidewalk, ,113.317680100000000,23.121599900000000,113.317677300000000,23.121545000000001
4,559470965.000000000000000,yes,1,footway,sidewalk, ,113.317194500000000,23.121489199999999,113.317228900000000,23.122436199999999
5,503810994.000000000000000,yes,1,footway, , ,113.317216900000010,23.122124800000002,113.317205100000000,23.121638999999998
6,299862455.000000000000000,yes, ,steps, , ,113.318281099999990,23.121799200000002,113.318538399999990,23.121781500000001
7,559485940.000000000000000,yes, ,steps, , ,113.317216900000010,23.122124800000002,113.316942400000000,23.122139499999999
8,559470935.000000000000000,yes,1,footway,sidewalk, ,113.317044999999990,23.123245199999999,113.317045800000000,23.123524400000001
9,559470933.000000000000000,yes,1,footway,sidewalk, ,113.317365800000000,23.122973000000002,113.317770700000000,23.123109899999999
10,684906915.000000000000000,yes,1,footway, , ,113.320691200000000,23.121362500000000,113.320784100000000,23.121133000000000
11,299795154.000000000000000,yes, ,steps, ,up,113.321002100000000,23.121342899999998,113.320691200000000,23.121362500000000
12,299795168.000000000000000,yes, ,steps, ,down,113.320198700000010,23.121594800000000,113.319968000000000,23.121626299999999
13,299795212.000000000000000,yes,1,footway, , ,113.320695900000000,23.121753600000002,113.320691200000000,23.121362500000000
14,299795139.000000000000000,yes, ,footway, , ,113.320695900000000,23.121753600000002,113.320691200000000,23.121362500000000
15,299795171.000000000000000,yes, ,steps, ,up,113.321244500000010,23.121746300000002,113.320695900000000,23.121753600000002
16,559470962.000000000000000,yes,1,footway,sidewalk, ,113.320629500000000,23.122908100000000,113.320995200000000,23.122855399999999
17,299795164.000000000000000,yes,1,footway, , ,113.318941300000010,23.125742800000001,113.319161500000010,23.125814999999999
18,299795160.000000000000000,yes,1,footway, , ,113.318874699999990,23.126138099999999,113.318822299999990,23.126149900000001
19,299795152.000000000000000,yes,1,footway, , ,113.319077800000000,23.126079000000001,113.319007700000000,23.126101999999999
20,299795187.000000000000000,yes,1,footway, , ,113.319554600000000,23.125968199999999,113.319310599999990,23.126015299999999
21,1172188473.000000000000000,yes,1,steps, ,down,113.320753300000010,23.125672099999999,113.320992000000000,23.125654099999998
22,299795202.000000000000000,yes,1,footway, , ,113.320753300000010,23.125672099999999,113.320753300000010,23.125672099999999
23,299795200.000000000000000,yes,1,footway, , ,113.318024700000000,23.126496899999999,113.317467900000000,23.125971799999999
24,299795158.000000000000000,yes,1,footway, , ,113.318854100000000,23.126834899999999,113.318956300000000,23.126862899999999
25,299795169.000000000000000,yes, ,footway, , ,113.319035200000000,23.126879400000000,113.319120500000000,23.126904900000000
26,299795163.000000000000000,yes, ,footway, , ,113.319678600000000,23.126622300000001,113.319569599999990,23.126631000000000
27,299795149.000000000000000,yes, ,footway, , ,113.319089100000000,23.127464000000000,113.318981699999990,23.127548500000000
28,299795180.000000000000000,yes, ,footway, , ,113.319222200000000,23.126937800000000,113.319325600000000,23.126970100000001
29,299795175.000000000000000,yes, ,footway, , ,113.319442499999990,23.127186300000002,113.319377399999990,23.127237399999999
30,299795145.000000000000000,yes,1,footway, , ,113.319564300000000,23.126996200000001,113.319609500000000,23.126998000000000
31,299795184.000000000000000,yes, ,footway, , ,113.319282300000000,23.127312199999999,113.319180100000000,23.127392499999999
32,299795166.000000000000000,yes, ,footway, , ,113.319200200000000,23.127688299999999,113.319318900000000,23.127675900000000
33,299795137.000000000000000,yes, ,footway, , ,113.319233900000000,23.127891600000002,113.319121400000000,23.127914300000000
34,299795177.000000000000000,yes, ,footway, , ,113.319437699999990,23.127850299999999,113.319342100000000,23.127869700000002