FID,osm_id,natural,leaf_cycle,leaf_type,x,y
0,299684377.000000000000000,wood,evergreen,broadleaved,113.318439826000000,23.116412868600001
1,299684375.000000000000000,wood,evergreen,broadleaved,113.319778991000010,23.116416540700001
2,299684372.000000000000000,wood,evergreen,broadleaved,113.318711093000000,23.116742891400001
3,299684370.000000000000000,wood,evergreen,broadleaved,113.318698414000000,23.116909306400000
4,299684371.000000000000000,wood,evergreen,broadleaved,113.319537694999990,23.116647658100000
5,299684373.000000000000000,wood,evergreen,broadleaved,113.319559697000000,23.117075660800001
6,299684378.000000000000000,wood,evergreen,broadleaved,113.318694236000000,23.117505077499999
7,299687650.000000000000000,wood,evergreen,broadleaved,113.319591020000000,23.117652477200000
8,299687652.000000000000000,wood,evergreen,broadleaved,113.319583807000000,23.117932967700000
9,299687649.000000000000000,wood,evergreen,broadleaved,113.318710327000010,23.117971781700000
10,299687654.000000000000000,wood,evergreen,broadleaved,113.318689827000000,23.118406101800002
11,299687646.000000000000000,wood,evergreen,broadleaved,113.319450399999990,23.118131399999999
12,299687647.000000000000000,wood,evergreen,broadleaved,113.319707600000000,23.118217300000001
13,299687653.000000000000000,wood,evergreen,broadleaved,113.319604893000000,23.118539986199998
14,299687651.000000000000000,wood,evergreen,broadleaved,113.318687389000000,23.119109795499998
15,299687645.000000000000000,wood,evergreen,broadleaved,113.319538667000000,23.118819299999998
16,299687648.000000000000000,wood,evergreen,broadleaved,113.319611108999990,23.119190664800001