FID,osm_id,leisure,natural,landuse,name,sport,amenity,building,layer,power,area,addr_house,operator,constructi,leaf_cycle,leaf_type,name_zh,community_,parking,substation,descriptio,residentia,name_en,wikipedia,opening_ho,wikidata,wikimedia_,hotel,commercial,website,emergency,healthcare,addr_stree,check_date,x,y
0,299684377.000000000000000, ,wood, , , , , , , , , , , ,evergreen,broadleaved, , , , , , , , , , , , , , , , , , ,113.318439826000000,23.116412868600001
1,-10061849.000000000000000,park, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316386830000000,23.117149652199998
2,-10061851.000000000000000,park, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317617365000000,23.117075760500001
3,-10061852.000000000000000, , ,grass, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318052703000010,23.116893655700000
4,719563810.000000000000000, , ,grass, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318222899000010,23.117901682100001
5,312876748.000000000000000,pitch, , , ,basketball, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317037279999990,23.118869210800000
6,719563811.000000000000000, , ,grass, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318276700000000,23.118076855100000
7,312876745.000000000000000, , , ,广州市第二少年宫, ,community_centre,yes, , , , , , , , ,广州市第二少年宫,juvenile, , , , , , , , , , , , , , , , ,113.317707437000000,23.119085961900002
8,299684376.000000000000000, ,grassland, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318746742000000,23.116452490800000
9,299684363.000000000000000, ,grassland, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319098387000000,23.116346621400002
10,299684374.000000000000000, ,grassland, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319481436999990,23.116396061000000
11,299684375.000000000000000, ,wood, , , , , , , , , , , ,evergreen,broadleaved, , , , , , , , , , , , , , , , , , ,113.319778991000010,23.116416540700001
12,299684372.000000000000000, ,wood, , , , , , , , , , , ,evergreen,broadleaved, , , , , , , , , , , , , , , , , , ,113.318711093000000,23.116742891400001
13,299684370.000000000000000, ,wood, , , , , , , , , , , ,evergreen,broadleaved, , , , , , , , , , , , , , , , , , ,113.318698414000000,23.116909306400000
14,299684371.000000000000000, ,wood, , , , , , , , , , , ,evergreen,broadleaved, , , , , , , , , , , , , , , , , , ,113.319537694999990,23.116647658100000
15,299684373.000000000000000, ,wood, , , , , , , , , , , ,evergreen,broadleaved, , , , , , , , , , , , , , , , , , ,113.319559697000000,23.117075660800001
16,299684378.000000000000000, ,wood, , , , , , , , , , , ,evergreen,broadleaved, , , , , , , , , , , , , , , , , , ,113.318694236000000,23.117505077499999
17,603486760.000000000000000, , , , , ,parking, ,-1, , , , , , , , , ,underground, , , , , , , , , , , , , , , ,113.318826349000010,23.117608860200001
18,299687650.000000000000000, ,wood, , , , , , , , , , , ,evergreen,broadleaved, , , , , , , , , , , , , , , , , , ,113.319591020000000,23.117652477200000
19,603486759.000000000000000, , , , , ,parking, ,-1, , , , , , , , , ,underground, , , , , , , , , , , , , , , ,113.319331101000000,23.117779588600001
20,299687652.000000000000000, ,wood, , , , , , , , , , , ,evergreen,broadleaved, , , , , , , , , , , , , , , , , , ,113.319583807000000,23.117932967700000
21,299687655.000000000000000, , ,grass, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320555020000000,23.116970650300001
22,299687658.000000000000000, , ,grass, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320438288000010,23.117751512700000
23,299687649.000000000000000, ,wood, , , , , , , , , , , ,evergreen,broadleaved, , , , , , , , , , , , , , , , , , ,113.318710327000010,23.117971781700000
24,299687654.000000000000000, ,wood, , , , , , , , , , , ,evergreen,broadleaved, , , , , , , , , , , , , , , , , , ,113.318689827000000,23.118406101800002
25,299687646.000000000000000, ,wood, , , , , , , , , , , ,evergreen,broadleaved, , , , , , , , , , , , , , , , , , ,113.319450399999990,23.118131399999999
26,299687647.000000000000000, ,wood, , , , , , , , , , , ,evergreen,broadleaved, , , , , , , , , , , , , , , , , , ,113.319707600000000,23.118217300000001
27,299687653.000000000000000, ,wood, , , , , , , , , , , ,evergreen,broadleaved, , , , , , , , , , , , , , , , , , ,113.319604893000000,23.118539986199998
28,299687651.000000000000000, ,wood, , , , , , , , , , , ,evergreen,broadleaved, , , , , , , , , , , , , , , , , , ,113.318687389000000,23.119109795499998
29,299687656.000000000000000, , ,grass, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319155279000000,23.119097383500002
30,299687645.000000000000000, ,wood, , , , , , , , , , , ,evergreen,broadleaved, , , , , , , , , , , , , , , , , , ,113.319538667000000,23.118819299999998
31,299687648.000000000000000, ,wood, , , , , , , , , , , ,evergreen,broadleaved, , , , , , , , , , , , , , , , , , ,113.319611108999990,23.119190664800001
32,503962038.000000000000000, , , , , , ,yes, ,substation, , , , , , , , , ,yes,变电站, , , , , , , , , , , , , ,113.321782918000000,23.118403886799999
33,993462509.000000000000000, , ,commercial, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316747183000000,23.122758212800001
34,993462508.000000000000000, , ,commercial, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318046679999990,23.123175668100000
35,547062353.000000000000000, , ,commercial,乔鑫国际, , , , , , , , , , , ,乔鑫国际, , , , , , , , , , , , , , , , , ,113.316821838000000,23.125428618200001
36,243319596.000000000000000,park, , ,花城广场, , , , , , , , , , , ,花城广场, , , , , ,Huacheng Square,zh:花城广场,24/7,Q29469292,Category:Huacheng Square, , , , , , , ,113.319182259000000,23.122591882799998
37,993462507.000000000000000, , ,commercial, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320325452000010,23.122902644100002
38,993462506.000000000000000, , ,commercial, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321561684000000,23.122633919599998
39,993462505.000000000000000, , ,commercial, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321619862000010,23.124308255399999
40,1150172000.000000000000000, , , , , ,bicycle_parking, , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316980071000000,23.127974828599999
41,858600101.000000000000000, , ,construction,粤海集团总部大厦, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317338613000000,23.128755756600000
42,993462494.000000000000000, , ,commercial, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320818768000000,23.128294023999999
43,719360459.000000000000000, , ,construction,哥弟总部大楼项目工地, , , , , , , ,GIRDEAR,building, , , , , , , , , , , , , , , , , , , , ,113.321923500000000,23.126501944200001