FID,osm_id,layer,name,tunnel,oneway,railway,service,constructi,maxspeed,frequency,electrifie,name_en,gauge,voltage,name_zh,start_date,level,monorail,wikipedia,wikidata,construc_1,x_S,y_S,x_E,y_E
0,724737479.000000000000000,-3,广州地铁3号线,yes,yes,subway, , ,120,0,contact_line,Guangzhou Metro Line 3,1435,1500,广州地铁3号线, , , , , , ,113.315690600000000,23.119770299999999,113.316319100000000,23.083848499999998
1,531229235.000000000000000,-3,广州地铁3号线,yes,yes,subway, , ,120,0,contact_line,Guangzhou Metro Line 3,1435,1500,广州地铁3号线, , , , , , ,113.316427600000000,23.083865400000001,113.315820900000010,23.119756100000000
2,832172381.000000000000000,-2,广州地铁18号线,yes, ,subway, , ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322650100000000,23.116146199999999,113.338187800000000,23.105309500000001
3,831852019.000000000000000,-2,广州地铁18号线,yes, ,subway, , ,160,50,contact_line, ,1435,25000, , , , , , , ,113.338444800000000,23.105311199999999,113.322801799999990,23.116173000000000
4,617427354.000000000000000,-2,广州地铁5号线,yes,yes,subway, , ,90,0,rail,Guangzhou Metro Line 5,1435,1500,广州地铁5号线,2009-12-28, , , , , ,113.320662700000000,23.121641700000001,113.425394999999990,23.102841000000002
5,542454660.000000000000000,-2,广州地铁5号线,yes,yes,subway, , ,90,0,rail,Guangzhou Metro Line 5,1435,1500,广州地铁5号线,2009-12-28, , , , , ,113.425411299999990,23.102972600000001,113.320678099999990,23.121717000000000
6,503773611.000000000000000,-3,广州地铁5号线,yes,yes,subway, , ,90,0,rail,Guangzhou Metro Line 5,1435,1500,广州地铁5号线,2009-12-28, , , , , ,113.296862800000000,23.137107900000000,113.318065700000010,23.121890000000000
7,503814661.000000000000000,-3,广州地铁5号线,yes,yes,subway, , ,90,0,rail,Guangzhou Metro Line 5,1435,1500,广州地铁5号线,2009-12-28, , , , , ,113.318070100000000,23.121952499999999,113.303128200000000,23.137244200000001
8,832172378.000000000000000,-3,广州地铁18号线,yes, ,subway, , ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322626900000000,23.122188099999999,113.322650100000000,23.116146199999999
9,832172380.000000000000000,-3,广州地铁18号线,yes, ,subway, , ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322801799999990,23.116173000000000,113.322788700000000,23.122192200000001
10,899194116.000000000000000,-2,广州地铁3号线,yes,yes,subway, , ,120,0,contact_line,Guangzhou Metro Line 3,1435,1500,广州地铁3号线, , , , , , ,113.315749100000010,23.125891700000000,113.315690600000000,23.119770299999999
11,899194117.000000000000000,-2,广州地铁3号线,yes,yes,subway, , ,120,0,contact_line,Guangzhou Metro Line 3,1435,1500,广州地铁3号线, , , , , , ,113.315820900000010,23.119756100000000,113.315944300000000,23.125885300000000
12,503983389.000000000000000,-4,广州地铁5号线,yes,yes,subway, , ,90,0,rail,Guangzhou Metro Line 5,1435,1500,广州地铁5号线,2009-12-28, , , , , ,113.318065700000010,23.121890000000000,113.320662700000000,23.121641700000001
13,617427353.000000000000000,-4,广州地铁5号线,yes,yes,subway, , ,90,0,rail,Guangzhou Metro Line 5,1435,1500,广州地铁5号线,2009-12-28, , , , , ,113.320678099999990,23.121717000000000,113.318070100000000,23.121952499999999
14,620330289.000000000000000,-3,珠江新城旅客自动输送系统,yes, ,subway, , ,60,50,rail,Zhujiang New Town Automated People Mover System,2642,600,珠江新城旅客自动输送系统, ,-3, , , , ,113.318528000000000,23.136136499999999,113.318304100000010,23.109885400000000
15,620358661.000000000000000,-3,珠江新城旅客自动输送系统,yes, ,subway, , ,60,50,rail,Zhujiang New Town Automated People Mover System,2642,600,珠江新城旅客自动输送系统, ,-3, , , , ,113.318411900000000,23.109877600000001,113.318640000000000,23.136131500000001
16,991426148.000000000000000,-2,广州地铁18号线,yes, ,subway, , ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322650499999990,23.123289900000000,113.322626900000000,23.122188099999999
17,991426144.000000000000000,-2,广州地铁18号线,yes, ,subway, , ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322788700000000,23.122192200000001,113.322811000000000,23.123285800000001
18,617630968.000000000000000,-3, ,yes, ,subway,crossover, ,60,50,rail, ,2642,600, , , ,rubber_tyres, , , ,113.319056100000000,23.125284499999999,113.319158500000000,23.124993199999999
19,832161621.000000000000000,-2, ,yes, ,subway,yard, ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322721300000000,23.123927699999999,113.322650499999990,23.123289900000000
20,991426145.000000000000000,-2, ,yes, ,subway,yard, ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322721300000000,23.123927699999999,113.322709700000000,23.123358400000001
21,991426149.000000000000000,-2, ,yes, ,subway,yard, ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322755000000000,23.123357500000001,113.322767600000010,23.123926699999998
22,832161622.000000000000000,-2, ,yes, ,subway,yard, ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322811000000000,23.123285800000001,113.322767600000010,23.123926699999998
23,832161617.000000000000000,-2, ,yes, ,subway,yard, ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322768100000000,23.126199600000000,113.322721300000000,23.123927699999999
24,832161618.000000000000000,-2, ,yes, ,subway,yard, ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322767600000010,23.123926699999998,113.322817800000000,23.126197900000001
25,831745747.000000000000000,-2,广州地铁18号线,yes, ,subway, , ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322737900000010,23.127373100000000,113.322650499999990,23.123289900000000
26,832172379.000000000000000,-2,广州地铁18号线,yes, ,subway, , ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322811000000000,23.123285800000001,113.322898499999990,23.127371499999999
27,899194114.000000000000000,-3,广州地铁3号线,yes,yes,subway, , ,120,0,contact_line,Guangzhou Metro Line 3,1435,1500,广州地铁3号线, ,-3, , , , ,113.315944300000000,23.125885300000000,113.315997200000000,23.129637800000001
28,899194115.000000000000000,-3,广州地铁3号线,yes,yes,subway, , ,120,0,contact_line,Guangzhou Metro Line 3,1435,1500,广州地铁3号线, ,-3, , , , ,113.315751199999990,23.129753699999998,113.315749100000010,23.125891700000000
29,991426146.000000000000000,-2, ,yes, ,subway,yard, ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322780100000000,23.126752799999998,113.322768100000000,23.126199600000000
30,991426143.000000000000000,-2, ,yes, ,subway,yard, ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322817800000000,23.126197900000001,113.322829600000010,23.126752600000000
31,832161620.000000000000000,-2, ,yes, ,subway,yard, ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322737900000010,23.127373100000000,113.322817800000000,23.126197900000001
32,832161619.000000000000000,-2, ,yes, ,subway,yard, ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322768100000000,23.126199600000000,113.322898499999990,23.127371499999999
33,991426142.000000000000000,-2,广州地铁18号线,yes, ,subway, , ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322760800000000,23.128451200000001,113.322737900000010,23.127373100000000
34,991426147.000000000000000,-2,广州地铁18号线,yes, ,subway, , ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322898499999990,23.127371499999999,113.322921400000000,23.128448599999999
35,987904834.000000000000000,-2,广州地铁18号线,yes, ,subway, , ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322780499999990,23.129370099999999,113.322760800000000,23.128451200000001
36,987904833.000000000000000,-2,广州地铁18号线,yes, ,subway, , ,160,50,contact_line, ,1435,25000, , , , , , , ,113.322921400000000,23.128448599999999,113.322941000000000,23.129362600000000
37,521701939.000000000000000,-3,广州地铁3号线,yes,yes,subway, , ,120,0,contact_line,Guangzhou Metro Line 3,1435,1500,广州地铁3号线, , , , , , ,113.315964300000000,23.134449499999999,113.315751199999990,23.129753699999998
38,724737480.000000000000000,-3,广州地铁3号线北延线,yes, ,subway, , ,120,0,contact_line,Guangzhou Metro Line 3 North Extension,1435,1500,广州地铁3号线北延线, , , , , , ,113.316094800000000,23.134478699999999,113.315881200000010,23.129813800000001
39,724737478.000000000000000,-3,广州地铁3号线,yes,yes,subway, , ,120,0,contact_line,Guangzhou Metro Line 3,1435,1500,广州地铁3号线, , , , , , ,113.315997200000000,23.129637800000001,113.316227700000000,23.134590599999999
40,404553829.000000000000000,-3,广州地铁13号线,yes, ,construction, , , , ,contact_line,Guangzhou Metro Line 13,1435,1500,广州地铁13号线, , , ,zh:广州地铁13号线,Q6553065, ,113.426932100000000,23.106592500000001,113.195398400000000,23.224817900000001
41,601329380.000000000000000,-3,广州地铁13号线,yes, ,construction, , , , ,contact_line,Guangzhou Metro Line 13,1435,1500,广州地铁13号线, , , ,zh:广州地铁13号线,Q6553065, ,113.426841900000000,23.106567600000002,113.195169400000000,23.225413499999998
42,832161623.000000000000000,3,广州地铁18号线,yes, ,construction, ,subway, ,50,contact_line, ,1435,25000, , , , , , ,subway,113.229537600000000,23.429404300000002,113.322936500000000,23.129420000000000