FID,osm_id,natural,x,y
0,9076517236.000000000000000,tree,113.320359000000000,23.125589399999999
1,3038988801.000000000000000,tree,113.318962799999990,23.128668200000000
2,3038988807.000000000000000,tree,113.318963299999990,23.128711200000001
3,3038988813.000000000000000,tree,113.318963999999990,23.128761799999999
4,3038988800.000000000000000,tree,113.319009800000000,23.128667700000001
5,3038988799.000000000000000,tree,113.319060900000000,23.128667199999999
6,3038988806.000000000000000,tree,113.319011300000000,23.128710699999999
7,3038988805.000000000000000,tree,113.319061500000000,23.128710200000000
8,3038988812.000000000000000,tree,113.319013000000000,23.128761300000001
9,3038988811.000000000000000,tree,113.319062100000000,23.128760799999998
10,3038988819.000000000000000,tree,113.318966800000000,23.128832200000002
11,3038988825.000000000000000,tree,113.318967400000010,23.128875300000001
12,3038988831.000000000000000,tree,113.318968000000000,23.128925800000001
13,3038988818.000000000000000,tree,113.319013799999990,23.128831699999999
14,3038988817.000000000000000,tree,113.319064999999990,23.128831200000000
15,3038988824.000000000000000,tree,113.319015300000000,23.128874799999998
16,3038988823.000000000000000,tree,113.319065499999990,23.128874300000000
17,3038988830.000000000000000,tree,113.319017000000000,23.128925299999999
18,3038988829.000000000000000,tree,113.319066100000000,23.128924800000000
19,3038988798.000000000000000,tree,113.319483199999990,23.128650900000000
20,3038988804.000000000000000,tree,113.319483700000010,23.128693999999999
21,3038988810.000000000000000,tree,113.319484300000000,23.128744500000000
22,3038988816.000000000000000,tree,113.319492600000000,23.128813699999998
23,3038988822.000000000000000,tree,113.319493100000000,23.128856800000001
24,3038988828.000000000000000,tree,113.319493700000000,23.128907300000002
25,3038988797.000000000000000,tree,113.319530200000000,23.128650400000001
26,3038988796.000000000000000,tree,113.319581300000000,23.128649899999999
27,3038988803.000000000000000,tree,113.319531600000000,23.128693500000001
28,3038988802.000000000000000,tree,113.319581799999990,23.128692999999998
29,3038988809.000000000000000,tree,113.319533400000000,23.128744000000001
30,3038988808.000000000000000,tree,113.319582400000000,23.128743499999999
31,3038988815.000000000000000,tree,113.319539500000000,23.128813200000000
32,3038988814.000000000000000,tree,113.319590700000010,23.128812700000001
33,3038988821.000000000000000,tree,113.319541000000000,23.128856299999999
34,3038988820.000000000000000,tree,113.319591200000000,23.128855800000000
35,3038988827.000000000000000,tree,113.319542700000000,23.128906799999999
36,3038988826.000000000000000,tree,113.319591800000000,23.128906300000001
37,3038988837.000000000000000,tree,113.318972200000000,23.128996200000000
38,3038988836.000000000000000,tree,113.319019200000000,23.128995799999998
39,3038988835.000000000000000,tree,113.319070300000010,23.128995199999999
40,3038988841.000000000000000,tree,113.319070800000010,23.129038300000001
41,3038988845.000000000000000,tree,113.319071500000010,23.129088800000002
42,3038988851.000000000000000,tree,113.318980300000010,23.129187399999999
43,3038988857.000000000000000,tree,113.318980800000010,23.129230499999998
44,3038988863.000000000000000,tree,113.318981400000000,23.129280999999999
45,3038988850.000000000000000,tree,113.319027199999990,23.129186900000001
46,3038988849.000000000000000,tree,113.319078400000000,23.129186399999998
47,3038988856.000000000000000,tree,113.319028700000000,23.129230000000000
48,3038988855.000000000000000,tree,113.319078899999990,23.129229400000000
49,3038988862.000000000000000,tree,113.319030400000000,23.129280500000000
50,3038988861.000000000000000,tree,113.319079500000000,23.129280000000001
51,3038988869.000000000000000,tree,113.318984099999990,23.129360399999999
52,3038988875.000000000000000,tree,113.318984700000000,23.129403400000001
53,3038988881.000000000000000,tree,113.318985299999990,23.129453999999999
54,3038988868.000000000000000,tree,113.319031100000000,23.129359900000001
55,3038988867.000000000000000,tree,113.319082200000000,23.129359399999998
56,3038988874.000000000000000,tree,113.319032600000000,23.129402899999999
57,3038988880.000000000000000,tree,113.319034300000000,23.129453500000000
58,3038988873.000000000000000,tree,113.319082800000000,23.129402400000000
59,3038988879.000000000000000,tree,113.319083400000000,23.129452900000000
60,3038988834.000000000000000,tree,113.319493900000000,23.128977700000000
61,3038988840.000000000000000,tree,113.319494400000000,23.129020799999999
62,3038988844.000000000000000,tree,113.319495000000000,23.129071300000000
63,3038988848.000000000000000,tree,113.319499300000000,23.129170100000000
64,3038988854.000000000000000,tree,113.319499800000000,23.129213199999999
65,3038988860.000000000000000,tree,113.319500400000000,23.129263699999999
66,3038988833.000000000000000,tree,113.319540900000010,23.128977299999999
67,3038988832.000000000000000,tree,113.319592000000000,23.128976699999999
68,3038988839.000000000000000,tree,113.319542400000000,23.129020300000001
69,3038988838.000000000000000,tree,113.319592500000000,23.129019799999998
70,3038988843.000000000000000,tree,113.319544100000000,23.129070800000001
71,3038988842.000000000000000,tree,113.319593100000010,23.129070299999999
72,3038988847.000000000000000,tree,113.319546200000000,23.129169699999998
73,3038988853.000000000000000,tree,113.319547700000000,23.129212700000000
74,3038988846.000000000000000,tree,113.319597400000010,23.129169099999999
75,3038988852.000000000000000,tree,113.319597900000010,23.129212200000001
76,3038988859.000000000000000,tree,113.319549499999990,23.129263200000000
77,3038988858.000000000000000,tree,113.319598500000000,23.129262700000002
78,3038988866.000000000000000,tree,113.319504600000000,23.129344000000000
79,3038988872.000000000000000,tree,113.319505199999990,23.129387099999999
80,3038988878.000000000000000,tree,113.319505800000000,23.129437599999999
81,3038988865.000000000000000,tree,113.319551600000000,23.129343599999999
82,3038988871.000000000000000,tree,113.319553099999990,23.129386600000000
83,3038988864.000000000000000,tree,113.319602700000000,23.129342999999999
84,3038988870.000000000000000,tree,113.319603300000000,23.129386100000001
85,3038988877.000000000000000,tree,113.319554800000010,23.129437100000001
86,3038988876.000000000000000,tree,113.319603900000000,23.129436599999998